,SecurityID,2019-02-28,2019-04-30,2019-06-30,2019-08-31,2019-10-31,2019-12-31
224,20038.0,Cluster 1,Cluster 1,Cluster 9,Cluster 29,Cluster 24,Cluster 15
225,20158.0,Cluster 1,Cluster 89,Cluster 15,Cluster 29,Cluster 17,Cluster 15
226,20160.0,Cluster 1,Cluster 2,Cluster 9,Cluster 29,Cluster 8,Cluster 15
227,20164.0,Cluster 1,Cluster 62,,,,
228,20195.0,Cluster 1,Cluster 97,Cluster 11,Cluster 28,Cluster 58,Cluster 34
229,20219.0,Cluster 1,Cluster 29,Cluster 9,Cluster 14,Cluster 58,Cluster 12
230,20233.0,Cluster 1,Cluster 97,Cluster 9,Cluster 58,Cluster 1,Cluster 12
231,20273.0,Cluster 1,Cluster 38,Cluster 15,Cluster 14,Cluster 106,Cluster 34
232,20287.0,Cluster 1,Cluster 49,Cluster 22,Cluster 94,Cluster 4,Cluster 12
233,20332.0,Cluster 1,Cluster 97,Cluster 15,Cluster 58,Cluster 58,Cluster 15
234,20387.0,Cluster 1,Cluster 29,Cluster 9,Cluster 28,Cluster 58,Cluster 1
235,20392.0,Cluster 1,Cluster 2,Cluster 9,Cluster 58,Cluster 58,Cluster 12
236,20429.0,Cluster 1,Cluster 2,Cluster 9,Cluster 28,Cluster 30,Cluster 15
237,20434.0,Cluster 1,Cluster 1,Cluster 9,Cluster 28,Cluster 34,Cluster 12
238,20488.0,Cluster 1,Cluster 2,Cluster 3,Cluster 28,Cluster 4,Cluster 0
239,20557.0,Cluster 1,Cluster 2,Cluster 9,Cluster 29,Cluster 9,Cluster 15
240,20588.0,Cluster 1,Cluster 52,Cluster 9,Cluster 14,Cluster 24,Cluster 12
241,20594.0,Cluster 1,Cluster 29,Cluster 30,Cluster 28,Cluster 6,Cluster 1
242,20599.0,Cluster 1,Cluster 54,Cluster 15,Cluster 58,,
243,20618.0,Cluster 1,Cluster 38,Cluster 52,Cluster 58,Cluster 8,Cluster 1
244,20822.0,Cluster 1,Cluster 1,Cluster 9,Cluster 119,Cluster 19,Cluster 12
245,20911.0,Cluster 1,Cluster 2,Cluster 9,Cluster 13,Cluster 28,Cluster 45
246,20914.0,Cluster 1,Cluster 29,Cluster 9,Cluster 37,Cluster 58,Cluster 12
247,20957.0,Cluster 1,Cluster 1,Cluster 9,Cluster 58,Cluster 10,Cluster 12
248,21010.0,Cluster 1,Cluster 97,Cluster 3,Cluster 28,Cluster 4,Cluster 15
249,21022.0,Cluster 1,Cluster 2,Cluster 22,Cluster 58,Cluster 24,Cluster 21
250,21248.0,Cluster 1,Cluster 29,Cluster 9,Cluster 28,Cluster 4,Cluster 34
251,21301.0,Cluster 1,Cluster 21,Cluster 14,Cluster 14,Cluster 8,Cluster 0
252,21308.0,Cluster 1,Cluster 2,Cluster 9,Cluster 58,Cluster 4,Cluster 0
253,21406.0,Cluster 1,Cluster 2,Cluster 15,Cluster 29,Cluster 50,Cluster 12
254,21409.0,Cluster 1,Cluster 29,Cluster 16,Cluster 14,Cluster 8,Cluster 34
255,21442.0,Cluster 1,Cluster 44,Cluster 9,Cluster 28,Cluster 87,Cluster 12
256,21486.0,Cluster 1,Cluster 37,Cluster 15,Cluster 118,Cluster 9,Cluster 12
257,21612.0,Cluster 1,Cluster 1,Cluster 9,Cluster 58,Cluster 28,Cluster 34
258,21680.0,Cluster 1,Cluster 1,Cluster 9,Cluster 28,Cluster 58,Cluster 12
259,21898.0,Cluster 1,Cluster 120,Cluster 15,Cluster 14,Cluster 58,Cluster 34
260,21927.0,Cluster 1,Cluster 58,Cluster 28,Cluster 59,Cluster 58,Cluster 12
261,21936.0,Cluster 1,Cluster 1,Cluster 3,Cluster 28,,
262,21937.0,Cluster 1,Cluster 1,Cluster 28,Cluster 59,Cluster 58,Cluster 12
263,22079.0,Cluster 1,Cluster 97,Cluster 9,Cluster 13,Cluster 15,Cluster 31
264,22084.0,Cluster 1,Cluster 29,Cluster 15,Cluster 14,Cluster 58,Cluster 34
265,22167.0,Cluster 1,Cluster 2,Cluster 9,Cluster 29,Cluster 50,Cluster 0
266,22169.0,Cluster 1,Cluster 45,,Cluster 58,Cluster 43,Cluster 46
267,22172.0,Cluster 1,Cluster 2,Cluster 23,Cluster 14,Cluster 50,Cluster 0
268,22186.0,Cluster 1,Cluster 2,Cluster 24,,,Cluster 8
269,22243.0,Cluster 1,Cluster 29,Cluster 52,Cluster 12,Cluster 4,Cluster 34
270,22275.0,Cluster 1,Cluster 8,Cluster 15,Cluster 14,Cluster 4,Cluster 0
271,22346.0,Cluster 1,Cluster 97,Cluster 15,Cluster 58,Cluster 58,Cluster 6
272,22423.0,Cluster 1,Cluster 49,Cluster 22,Cluster 29,Cluster 10,Cluster 15
273,22424.0,Cluster 1,Cluster 97,Cluster 9,Cluster 58,Cluster 58,Cluster 34
274,22444.0,Cluster 1,Cluster 97,Cluster 9,Cluster 58,Cluster 1,Cluster 27
275,22861.0,Cluster 1,Cluster 29,Cluster 9,Cluster 29,Cluster 15,Cluster 12
276,22908.0,Cluster 1,Cluster 97,Cluster 15,Cluster 58,Cluster 1,Cluster 14
277,22910.0,Cluster 1,Cluster 106,Cluster 9,Cluster 28,Cluster 34,Cluster 15
278,22916.0,Cluster 1,Cluster 97,Cluster 9,Cluster 58,Cluster 70,Cluster 12
279,22991.0,Cluster 1,Cluster 29,Cluster 11,Cluster 14,Cluster 8,Cluster 34
280,23173.0,Cluster 1,Cluster 28,Cluster 14,Cluster 28,Cluster 1,Cluster 1
281,23183.0,Cluster 1,Cluster 97,Cluster 9,Cluster 59,Cluster 9,Cluster 4
282,23193.0,Cluster 1,Cluster 1,Cluster 9,Cluster 28,Cluster 58,Cluster 84
283,23282.0,Cluster 1,Cluster 97,Cluster 9,Cluster 29,Cluster 50,Cluster 15
284,23404.0,Cluster 1,Cluster 97,Cluster 9,Cluster 28,Cluster 8,Cluster 12
285,23424.0,Cluster 1,Cluster 2,Cluster 3,Cluster 28,Cluster 58,Cluster 34
